Ant1,Ant2,Ant3,Ant4,Ant5,Ant6,Ant7,Ant8,Ant9,Ant10,Ant11,Ant12,Ant13,Ant14,Ant15,Ant16,Ant17,Ant18,Ant19,Ant20,Ant21,Ant22,Ant23,Ant24,Ant25,Ant26,Ant27,Ant28,Ant29,Ant30,Ant31,Ant32,Ant33,Ant34,Ant35,Ant36
0,-144.59,-289.18,-433.77,-578.36,-722.95,-867.55,-1012.14,-1156.73,-1301.32,-1445.91,-1590.5,-1735.09,-1879.68,-2024.27,-2168.86,-2313.46,-2458.05,-2602.64,-2747.23,-2891.82,-3036.41,-3181,-3325.59,-3470.18,-3614.77,-3759.36,-3903.96,-4048.55,-4193.14,-4337.73,-4482.32,-4626.91,-4771.5,-4916.09,-5060.68
0,-140.99,-281.98,-422.97,-563.96,-704.95,-845.94,-986.93,-1127.92,-1268.91,-1409.9,-1550.89,-1691.88,-1832.87,-1973.87,-2114.86,-2255.85,-2396.84,-2537.83,-2678.82,-2819.81,-2960.8,-3101.79,-3242.78,-3383.77,-3524.76,-3665.75,-3806.74,-3947.73,-4088.72,-4229.71,-4370.7,-4511.69,-4652.68,-4793.67,-4934.66
0,-137.31,-274.61,-411.92,-549.22,-686.53,-823.83,-961.14,-1098.44,-1235.75,-1373.06,-1510.36,-1647.67,-1784.97,-1922.28,-2059.58,-2196.89,-2334.2,-2471.5,-2608.81,-2746.11,-2883.42,-3020.72,-3158.03,-3295.33,-3432.64,-3569.95,-3707.25,-3844.56,-3981.86,-4119.17,-4256.47,-4393.78,-4531.08,-4668.39,-4805.7
0,-133.54,-267.08,-400.62,-534.16,-667.69,-801.23,-934.77,-1068.31,-1201.85,-1335.39,-1468.93,-1602.47,-1736.01,-1869.54,-2003.08,-2136.62,-2270.16,-2403.7,-2537.24,-2670.78,-2804.32,-2937.86,-3071.39,-3204.93,-3338.47,-3472.01,-3605.55,-3739.09,-3872.63,-4006.17,-4139.7,-4273.24,-4406.78,-4540.32,-4673.86
0,-129.69,-259.38,-389.08,-518.77,-648.46,-778.15,-907.85,-1037.54,-1167.23,-1296.92,-1426.62,-1556.31,-1686,-1815.69,-1945.39,-2075.08,-2204.77,-2334.46,-2464.16,-2593.85,-2723.54,-2853.23,-2982.93,-3112.62,-3242.31,-3372,-3501.7,-3631.39,-3761.08,-3890.77,-4020.46,-4150.16,-4279.85,-4409.54,-4539.23
0,-125.77,-251.54,-377.31,-503.07,-628.84,-754.61,-880.38,-1006.15,-1131.92,-1257.69,-1383.45,-1509.22,-1634.99,-1760.76,-1886.53,-2012.3,-2138.06,-2263.83,-2389.6,-2515.37,-2641.14,-2766.91,-2892.68,-3018.44,-3144.21,-3269.98,-3395.75,-3521.52,-3647.29,-3773.06,-3898.82,-4024.59,-4150.36,-4276.13,-4401.9
0,-121.77,-243.54,-365.31,-487.08,-608.85,-730.62,-852.39,-974.16,-1095.93,-1217.7,-1339.47,-1461.23,-1583,-1704.77,-1826.54,-1948.31,-2070.08,-2191.85,-2313.62,-2435.39,-2557.16,-2678.93,-2800.7,-2922.47,-3044.24,-3166.01,-3287.78,-3409.55,-3531.32,-3653.09,-3774.86,-3896.63,-4018.4,-4140.16,-4261.93
0,-117.7,-235.4,-353.09,-470.79,-588.49,-706.19,-823.89,-941.58,-1059.28,-1176.98,-1294.68,-1412.37,-1530.07,-1647.77,-1765.47,-1883.17,-2000.86,-2118.56,-2236.26,-2353.96,-2471.66,-2589.35,-2707.05,-2824.75,-2942.45,-3060.15,-3177.84,-3295.54,-3413.24,-3530.94,-3648.63,-3766.33,-3884.03,-4001.73,-4119.43
0,-113.56,-227.11,-340.67,-454.22,-567.78,-681.34,-794.89,-908.45,-1022,-1135.56,-1249.12,-1362.67,-1476.23,-1589.78,-1703.34,-1816.9,-1930.45,-2044.01,-2157.56,-2271.12,-2384.67,-2498.23,-2611.79,-2725.34,-2838.9,-2952.45,-3066.01,-3179.57,-3293.12,-3406.68,-3520.23,-3633.79,-3747.35,-3860.9,-3974.46
0,-109.35,-218.69,-328.04,-437.38,-546.73,-656.08,-765.42,-874.77,-984.12,-1093.46,-1202.81,-1312.15,-1421.5,-1530.85,-1640.19,-1749.54,-1858.89,-1968.23,-2077.58,-2186.92,-2296.27,-2405.62,-2514.96,-2624.31,-2733.66,-2843,-2952.35,-3061.69,-3171.04,-3280.39,-3389.73,-3499.08,-3608.42,-3717.77,-3827.12
0,-105.07,-210.14,-315.21,-420.28,-525.36,-630.43,-735.5,-840.57,-945.64,-1050.71,-1155.78,-1260.85,-1365.93,-1471,-1576.07,-1681.14,-1786.21,-1891.28,-1996.35,-2101.42,-2206.5,-2311.57,-2416.64,-2521.71,-2626.78,-2731.85,-2836.92,-2941.99,-3047.06,-3152.14,-3257.21,-3362.28,-3467.35,-3572.42,-3677.49
0,-100.73,-201.47,-302.2,-402.93,-503.67,-604.4,-705.13,-805.87,-906.6,-1007.33,-1108.07,-1208.8,-1309.53,-1410.27,-1511,-1611.74,-1712.47,-1813.2,-1913.94,-2014.67,-2115.4,-2216.14,-2316.87,-2417.6,-2518.34,-2619.07,-2719.8,-2820.54,-2921.27,-3022,-3122.74,-3223.47,-3324.2,-3424.94,-3525.67
